"ANNEE";"AGE";"SEXE";"POP"
"2017";80;"F";1871
"2017";81;"M";1353
"2017";81;"F";1818
"2017";82;"M";1185
"2017";82;"F";1808
"2017";83;"M";1153
"2017";83;"F";1762
"2017";84;"M";1085
"2017";84;"F";1746
"2017";85;"M";966
"2017";85;"F";1623
"2017";86;"M";859
"2017";86;"F";1479
"2017";87;"M";760
"2017";87;"F";1442
"2017";88;"M";663
"2017";88;"F";1194
"2017";89;"M";543
"2017";89;"F";1097
"2017";90;"M";481
"2017";90;"F";999
"2017";91;"M";354
"2017";91;"F";923
"2017";92;"M";275
"2017";92;"F";773
"2017";93;"M";246
"2017";93;"F";560
"2017";94;"M";150
"2017";94;"F";532
"2017";95;"M";102
"2017";95;"F";401
"2017";96;"M";76
"2017";96;"F";308
"2017";97;"M";48
"2017";97;"F";180
"2017";98;"M";27
"2017";98;"F";103
"2017";99;"M";56
"2017";99;"F";182
"2018";0;"M";3872
"2018";0;"F";3596
"2018";1;"M";3995
"2018";1;"F";3774
"2018";2;"M";4199
"2018";2;"F";3862
"2018";3;"M";4322
"2018";3;"F";4035
"2018";4;"M";4332
"2018";4;"F";4072
"2018";5;"M";4474
"2018";5;"F";4192
"2018";6;"M";4533
"2018";6;"F";4362
"2018";7;"M";4662
"2018";7;"F";4512
"2018";8;"M";4655
"2018";8;"F";4445
"2018";9;"M";4729
"2018";9;"F";4379
"2018";10;"M";4618
"2018";10;"F";4361
"2018";11;"M";4669
"2018";11;"F";4426
"2018";12;"M";4516
"2018";12;"F";4374
"2018";13;"M";4637
"2018";13;"F";4371
"2018";14;"M";4593
"2018";14;"F";4272
"2018";15;"M";4593
"2018";15;"F";4205
"2018";16;"M";4454
"2018";16;"F";4144
"2018";17;"M";4567
"2018";17;"F";4207
"2018";18;"M";3444
"2018";18;"F";3091
"2018";19;"M";3189
"2018";19;"F";2833
"2018";20;"M";3052
"2018";20;"F";2805
"2018";21;"M";2979
"2018";21;"F";2749
"2018";22;"M";3045
"2018";22;"F";2803
"2018";23;"M";2856
"2018";23;"F";2734
"2018";24;"M";3045
"2018";24;"F";2915
"2018";25;"M";3315
"2018";25;"F";3318
"2018";26;"M";3401
"2018";26;"F";3397
"2018";27;"M";3561
"2018";27;"F";3462
"2018";28;"M";3660
"2018";28;"F";3790
"2018";29;"M";3769
"2018";29;"F";3922
"2018";30;"M";3854
"2018";30;"F";4047
"2018";31;"M";4003
"2018";31;"F";4002
"2018";32;"M";4121
"2018";32;"F";4121
"2018";33;"M";4050
"2018";33;"F";4152
"2018";34;"M";4126
"2018";34;"F";4250
"2018";35;"M";4423
"2018";35;"F";4497
"2018";36;"M";4438
"2018";36;"F";4560
"2018";37;"M";4450
"2018";37;"F";4493
"2018";38;"M";4246
"2018";38;"F";4426
"2018";39;"M";4089
"2018";39;"F";4348
"2018";40;"M";4152
"2018";40;"F";4143
"2018";41;"M";4096
"2018";41;"F";4307
"2018";42;"M";4168
"2018";42;"F";4295
"2018";43;"M";4586
"2018";43;"F";4616
"2018";44;"M";4766
"2018";44;"F";4789
"2018";45;"M";4879
"2018";45;"F";4839
"2018";46;"M";4845
"2018";46;"F";4856
"2018";47;"M";4807
"2018";47;"F";4742
"2018";48;"M";4662
"2018";48;"F";4663
"2018";49;"M";4657
"2018";49;"F";4521
"2018";50;"M";4559
"2018";50;"F";4476
"2018";51;"M";4755
"2018";51;"F";4604
"2018";52;"M";4673
"2018";52;"F";4540
"2018";53;"M";4518
"2018";53;"F";4550
"2018";54;"M";4459
"2018";54;"F";4499
